measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
189,2601.076095311,32.456959188,47.877420057
190,2614.911606457,32.456959188,47.757420057
191,2628.747117602,32.406959188,47.687420057
192,2642.582628747,32.406959188,47.627420057
193,2656.418139892,32.406959188,47.567420057
194,2670.253651038,32.406959188,47.437420057
195,2684.089162183,32.406959188,47.377420057
196,2697.924673328,32.406959188,47.317420057
197,2711.760184473,32.466959188,47.187420057
198,2725.595695619,32.466959188,47.067420057
199,2739.431206764,32.466959188,46.877420057
200,2753.266717909,32.596959188,46.757420057
201,2767.102229055,32.406959188,46.627420057
202,2780.937740200,32.346959188,46.437420057
203,2794.773251345,32.216959188,46.257420057
204,2808.608762490,32.276959188,46.187420057
205,2822.444273636,32.276959188,46.127420057
206,2836.279784781,31.906959188,46.067420057
207,2850.115295926,31.966959188,46.007420057
208,2863.950807071,31.906959188,45.937420057
209,2877.786318217,32.026959188,45.877420057
210,2891.621829362,31.846959188,45.817420057
211,2905.457340507,31.776959188,45.687420057
212,2919.292851653,31.656959188,45.627420057
213,2933.128362798,31.526959188,45.627420057
214,2946.963873943,31.596959188,45.507420057
215,2960.799385088,31.466959188,45.507420057
216,2974.634896234,31.466959188,45.377420057
217,2988.470407379,31.406959188,45.377420057
218,3002.305918524,31.346959188,45.317420057
219,3016.141429669,31.346959188,45.187420057
220,3029.976940815,31.216959188,45.187420057
221,3043.812451960,31.156959188,45.127420057
222,3057.647963105,31.276959188,45.067420057
223,3071.483474251,31.346959188,45.007420057
224,3085.318985396,31.406959188,44.937420057
225,3099.154496541,31.526959188,44.877420057
226,3112.990007686,31.596959188,44.817420057
227,3126.825518832,31.716959188,44.757420057
228,3140.661029977,31.846959188,44.757420057
229,3154.496541122,31.776959188,44.687420057
230,3168.332052267,31.776959188,44.627420057
231,3182.167563413,31.716959188,44.567420057
232,3196.003074558,31.656959188,44.507420057
233,3209.838585703,31.526959188,44.437420057
234,3223.674096849,31.466959188,44.437420057
235,3237.509607994,31.346959188,44.377420057
236,3251.345119139,31.216959188,44.317420057
237,3265.180630284,31.156959188,44.257420057
238,3279.016141430,31.216959188,44.187420057
239,3292.851652575,31.156959188,44.127420057
240,3306.687163720,31.096959188,44.127420057
241,3320.522674865,31.156959188,44.067420057
242,3334.358186011,31.026959188,43.937420057
243,3348.193697156,31.026959188,43.937420057
244,3362.029208301,30.966959188,43.877420057
245,3375.864719447,30.906959188,43.817420057
246,3389.700230592,30.906959188,43.757420057
247,3403.535741737,30.846959188,43.757420057
248,3417.371252882,30.776959188,43.687420057
249,3431.206764028,30.776959188,43.627420057
250,3445.042275173,30.846959188,43.567420057
251,3458.877786318,30.906959188,43.507420057
252,3472.713297463,30.906959188,43.437420057
253,3486.548808609,30.966959188,43.437420057
254,3500.384319754,30.966959188,43.317420057
255,3514.219830899,31.026959188,43.377420057
256,3528.055342045,30.966959188,43.317420057
257,3541.890853190,30.906959188,43.257420057
258,3555.726364335,30.906959188,43.187420057
259,3569.561875480,30.846959188,43.187420057
260,3583.397386626,30.906959188,43.127420057
261,3597.232897771,31.026959188,43.067420057
262,3611.068408916,31.026959188,43.067420057
263,3624.903920061,31.096959188,43.007420057
264,3638.739431207,31.216959188,43.007420057
265,3652.574942352,31.216959188,42.937420057
266,3666.410453497,31.156959188,42.877420057
267,3680.245964643,31.156959188,42.817420057
268,3694.081475788,31.216959188,42.817420057
269,3707.916986933,31.216959188,42.757420057
270,3721.752498078,31.216959188,42.687420057
271,3735.588009224,31.216959188,42.687420057
272,3749.423520369,31.096959188,42.627420057
273,3763.259031514,30.906959188,42.627420057
274,3777.094542659,30.846959188,42.567420057
275,3790.930053805,30.846959188,42.507420057
276,3804.765564950,30.776959188,42.507420057
277,3818.601076095,30.776959188,42.437420057
278,3832.436587241,30.716959188,42.437420057
279,3846.272098386,30.906959188,42.317420057
280,3860.107609531,30.966959188,42.317420057
281,3873.943120676,30.906959188,42.257420057
282,3887.778631822,30.966959188,42.257420057
283,3901.614142967,30.846959188,42.187420057
284,3915.449654112,30.966959188,42.127420057
285,3929.285165257,30.966959188,42.067420057
286,3943.120676403,30.966959188,42.067420057
287,3956.956187548,31.026959188,42.007420057
288,3970.791698693,30.966959188,42.007420057
289,3984.627209839,30.846959188,41.937420057
290,3998.462720984,30.716959188,41.937420057
291,4012.298232129,30.716959188,41.877420057
292,4026.133743274,30.716959188,41.877420057
293,4039.969254420,30.656959188,41.817420057
294,4053.804765565,30.656959188,41.757420057
295,4067.640276710,30.656959188,41.757420057
296,4081.475787855,30.656959188,41.687420057
297,4095.311299001,30.526959188,41.687420057
298,4109.146810146,30.526959188,41.627420057
299,4122.982321291,30.656959188,41.627420057
300,4136.817832437,30.656959188,41.567420057
301,4150.653343582,30.716959188,41.567420057
302,4164.488854727,30.716959188,41.507420057
303,4178.324365872,30.656959188,41.437420057
304,4192.159877018,30.586959188,41.437420057
305,4205.995388163,30.716959188,41.377420057
306,4219.830899308,30.776959188,41.437420057
307,4233.666410453,30.966959188,41.317420057
308,4247.501921599,31.026959188,41.257420057
309,4261.337432744,31.026959188,41.257420057
310,4275.172943889,31.216959188,41.257420057
311,4289.008455035,31.216959188,41.187420057
312,4302.843966180,31.156959188,41.187420057
313,4316.679477325,31.096959188,41.127420057
